date,low,median,high,reality_report,reality
2020-03-19,NA,NA,NA,267,389
2020-03-20,NA,NA,NA,NA,512
2020-03-21,NA,NA,NA,NA,649
2020-03-22,NA,NA,NA,NA,799
2020-03-23,NA,NA,NA,NA,959
2020-03-24,NA,NA,NA,1039,1127
2020-03-25,1517,1517,1517,1288,1298
2020-03-26,1674,1674,1674,1407,1469
2020-03-27,1850,1850,1850,1582,1638
2020-03-28,1984,1984,1984,1693,1802
2020-03-29,2107,2107,2107,1821,1960
2020-03-30,2175,2175,2175,2001,2109
2020-03-31,2296,2296,2296,2217,2244
2020-04-01,2358,2358,2358,2336,2365
2020-04-02,2423,2423,2423,2392,2468
2020-04-03,2505,2505,2505,2447,2552
2020-04-04,2526,2526,2526,2520,2618
2020-04-05,2598,2598,2598,2571,2664
2020-04-06,2608,2608,2608,2612,2692
2020-04-07,2633,2633,2633,2686,2702
2020-04-08,2662,2662,2662,2690,2698
2020-04-09,2648,2648,2648,2676,2679
2020-04-10,2649,2649,2649,2630,2647
2020-04-11,2609,2609,2609,2630,2605
2020-04-12,2588,2588,2588,2630,2555
2020-04-13,2522,2522,2522,2612,2499
2020-04-14,2475,2475,2475,2501,2439
2020-04-15,2430,2430,2430,2427,2377
2020-04-16,2374,2374,2374,2340,2312
2020-04-17,2324,2324,2324,2298,2245
2020-04-18,2262,2262,2262,2271,2176
2020-04-19,2203,2203,2203,2225,2106
2020-04-20,2150,2150,2150,2146,2035
2020-04-21,2093,2093,2093,2063,1965
2020-04-22,2018,2018,2018,2013,1895
2020-04-23,1944,1944,1944,1948,1826
2020-04-24,1897,1897,1897,1925,1759
2020-04-25,1836,1836,1836,1902,1693
2020-04-26,1765,1765,1765,1856,1628
2020-04-27,1703,1703,1703,1755,1566
2020-04-28,1656,1656,1656,NA,1507
2020-04-29,1553,1553,1553,NA,1449
2020-04-30,1491,1491,1491,NA,1394
2020-05-01,1429,1429,1429,NA,1341
2020-05-02,1367,1367,1367,NA,1290
2020-05-03,1311,1311,1311,NA,1239
2020-05-04,1259,1259,1259,NA,1190
2020-05-05,1205,1205,1205,NA,1142
2020-05-06,1151,1151,1151,NA,1095
2020-05-07,1094,1094,1094,NA,1048
2020-05-08,1042,1042,1042,NA,1002
2020-05-09,1001,1001,1001,NA,956
2020-05-10,954,954,954,NA,911
2020-05-11,881,881,881,NA,868
2020-05-12,864,864,864,NA,825
2020-05-13,828,828,828,NA,784
2020-05-14,791,791,791,NA,746
2020-05-15,747,747,747,NA,709
2020-05-16,716,716,716,NA,675
2020-05-17,684,684,684,NA,643
2020-05-18,652,652,652,NA,613
2020-05-19,619,619,619,NA,585
2020-05-20,594,594,594,NA,558
2020-05-21,580,580,580,NA,533
2020-05-22,565,565,565,NA,509
2020-05-23,516,516,516,NA,487
2020-05-24,506,506,506,NA,465
2020-05-25,493,493,493,NA,444
2020-05-26,485,485,485,NA,424
2020-05-27,467,467,467,NA,404
2020-05-28,450,452,448,NA,384
2020-05-29,443,450,447,NA,364
2020-05-30,428,455,463,NA,346
2020-05-31,425,453,467,NA,327
2020-06-01,431,458,478,NA,310
2020-06-02,414,453,503,NA,293
2020-06-03,409,458,522,NA,276
2020-06-04,409,469,559,NA,261
2020-06-05,409,479,612,NA,246
2020-06-06,404,484,677,NA,232
2020-06-07,407,488,735,NA,219
2020-06-08,408,516,814,NA,206
2020-06-09,419,530,906,NA,195
2020-06-10,419,551,1078,NA,184
2020-06-11,424,565,1168,NA,174
2020-06-12,434,574,1256,NA,165
2020-06-13,434,605,1426,NA,156
2020-06-14,436,620,1551,NA,148
2020-06-15,429,638,1682,NA,141
2020-06-16,424,651,1803,NA,134
2020-06-17,432,669,1908,NA,127
2020-06-18,439,690,2107,NA,120
2020-06-19,438,716,2281,NA,114
2020-06-20,444,747,2407,NA,108
2020-06-21,446,778,2481,NA,102
2020-06-22,443,803,2532,NA,96
2020-06-23,453,826,2595,NA,89
2020-06-24,453,862,2640,NA,83
2020-06-25,463,902,2677,NA,77
2020-06-26,463,944,2750,NA,70
2020-06-27,463,978,2760,NA,64
2020-06-28,472,1015,2772,NA,57
2020-06-29,477,1062,2701,NA,51
