date,cerfew_vaccine,cerfew_no_vaccine,R1,R09,VOC_40,VOC_70,reality_report,reality
2021-01-10,NA,NA,NA,NA,NA,NA,NA,1117
2021-01-11,NA,NA,NA,NA,NA,NA,NA,1137
2021-01-12,NA,NA,NA,NA,NA,NA,NA,1157
2021-01-13,NA,NA,NA,NA,NA,NA,NA,1178
2021-01-14,NA,NA,NA,NA,NA,NA,NA,1199
2021-01-15,NA,NA,NA,NA,NA,NA,1442,1220
2021-01-16,1350,1350,1350,1350,1350,1350,1100,1241
2021-01-17,1372,1372,1372,1372,1372,1372,881,1262
2021-01-18,1400,1400,1400,1400,1400,1400,1467,1280
2021-01-19,1413,1413,1413,1413,1413,1413,1565,1295
2021-01-20,1451,1451,1451,1451,1451,1451,1419,1307
2021-01-21,1487,1487,1487,1487,1487,1487,NA,1317
2021-01-22,1521,1521,1521,1521,1521,1521,1518,1323
2021-01-23,1547,1547,1547,1547,1547,1547,1177,1328
2021-01-24,1567,1567,1567,1567,1567,1567,1006,1331
2021-01-25,1593,1593,1593,1570,1574,1600,1616,1333
2021-01-26,1616,1616,1616,1572,1582,1634,NA,1334
2021-01-27,1642,1642,1642,1575,1589,1667,1568,1335
2021-01-28,1669,1669,1669,1578,1596,1700,1398,1335
2021-01-29,1687,1687,1687,1580,1603,1733,1533,1334
2021-01-30,1711,1711,1711,1583,1611,1767,1179,1331
2021-01-31,1731,1731,1731,1585,1618,1800,1058,1327
2021-02-01,1735,1735,1747,1588,1625,1833,1705,1320
2021-02-02,1740,1740,1765,1584,1649,1851,1632,1311
2021-02-03,1745,1745,1781,1614,1669,1876,NA,1300
2021-02-04,1745,1745,1807,1626,1662,1901,NA,1286
2021-02-05,1745,1745,1823,1627,1662,1918,NA,1270
2021-02-06,1760,1746,1837,1612,1660,1943,NA,1251
2021-02-07,1745,1745,1861,1608,1652,1980,NA,1230
2021-02-08,1772,1758,1882,1601,1652,2006,NA,1209
2021-02-09,1774,1775,1905,1595,1652,2032,NA,1187
2021-02-10,1775,1775,1946,1589,1653,2060,NA,1167
2021-02-11,1775,1775,1968,1576,1643,2100,NA,1149
2021-02-12,1775,1775,1984,1575,1642,2140,NA,1135
2021-02-13,1775,1786,2003,1563,1631,2172,NA,1123
2021-02-14,1775,1805,2029,1553,1621,2203,NA,1115
2021-02-15,1775,1815,2045,1544,1622,2257,NA,1111
2021-02-16,1773,1834,2065,1537,1617,2287,NA,1110
2021-02-17,1790,1834,2086,1526,1602,2343,NA,1112
2021-02-18,1789,1837,2106,1514,1602,2393,NA,1116
2021-02-19,1789,1828,2128,1513,1604,2452,NA,1122
2021-02-20,1790,1866,2147,1501,1583,2499,NA,1130
2021-02-21,1800,1903,2168,1490,1583,2562,NA,1139
2021-02-22,1804,1916,2189,1482,1562,2616,NA,1148
2021-02-23,1804,1929,2210,1473,1563,2684,NA,1158
2021-02-24,1804,1942,2236,1464,1542,2752,NA,1166
2021-02-25,1814,1972,2257,1452,1542,2822,NA,1173
2021-02-26,1817,2006,2284,1450,1522,2916,NA,1179
2021-02-27,1835,2035,2304,1438,1523,2998,NA,1182
2021-02-28,1833,2045,2329,1434,1503,3088,NA,1184
2021-03-01,1833,2076,2357,1426,1505,3154,NA,1185
2021-03-02,1833,2099,2385,1418,1484,3244,NA,1187
2021-03-03,1832,2134,2399,1411,NA,NA,NA,1188
2021-03-04,1863,2170,NA,NA,NA,NA,NA,1190
2021-03-05,1869,2206,NA,NA,NA,NA,NA,1194
2021-03-06,1893,2242,NA,NA,NA,NA,NA,1198
2021-03-07,1898,2269,NA,NA,NA,NA,NA,1205
2021-03-08,1928,2319,NA,NA,NA,NA,NA,1214
2021-03-09,1951,2375,NA,NA,NA,NA,NA,1226
2021-03-10,1972,2425,NA,NA,NA,NA,NA,1240
2021-03-11,2001,2457,NA,NA,NA,NA,NA,1258
2021-03-12,2029,2513,NA,NA,NA,NA,NA,1280
2021-03-13,2069,2533,NA,NA,NA,NA,NA,1303
2021-03-14,2106,2599,NA,NA,NA,NA,NA,1330
2021-03-15,2138,2668,NA,NA,NA,NA,NA,1357
2021-03-16,2175,2724,NA,NA,NA,NA,NA,1386
2021-03-17,2228,2775,NA,NA,NA,NA,NA,1416
2021-03-18,2251,2840,NA,NA,NA,NA,NA,1447
2021-03-19,2314,2938,NA,NA,NA,NA,NA,1476
2021-03-20,2338,2979,NA,NA,NA,NA,NA,1504
2021-03-21,2399,3046,NA,NA,NA,NA,NA,1529
2021-03-22,2450,3120,NA,NA,NA,NA,NA,1552
